CVE_ID,Commit Message,Links in Message,Link Presence,PATCH
CVE-2014-0050,"Fix CVE-2014-0050. Specially crafted input can trigger a DoS if the buffer used by the <code>MultipartStream</code> is not big enough. When constructing <code>MultipartStream</code> enforce the requirements for buffer size by throwing an <code>IllegalArgumentException</code> if the requested buffer size is too small. This prevents the DoS.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/fileupload/trunk@1565143 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/commons/proper/fileupload/trunk@1565143,contains links,https://github.com/apache/commons-fileupload/commit/c61ff05b3241cb14d989b67209e57aa71540417a;https://github.com/apache/commons-fileupload/commit/60c71bb5ddb709808e1a855e8299b5f5ad617aa5
CVE-2020-11996,Fix BZ 64467. Improve performance of closing idle streams,,no links,https://github.com/apache/tomcat/commit/9a0231683a77e2957cea0fdee88b193b30b0c976
CVE-2018-1339,fix chm parser,,no links,https://github.com/apache/tika/commit/ffb48dd29d0c2009490caefda75e5b57c7958c51
CVE-2017-12196,UNDERTOW-1190 client can use bogus uri in digest authentication,,no links,https://github.com/undertow-io/undertow/commit/facb33a5cedaf4b7b96d3840a08210370a806870;https://github.com/undertow-io/undertow/commit/8804170ce3186bdd83b486959399ec7ac0f59d0f
CVE-2017-15696,"GEODE-3962: use function call to get cluster configuration from a locator (#1059)

* GEODE-3962: use function all to retrieve cluster configuration from a locator",https://github.com/apache/geode/pull/1059,contains links,https://github.com/apache/geode/commit/37a897027074d4f160a5f96cd171ac384fa1b6df
CVE-2020-25711,ISPN-12498 Check authorization on server management ops,,no links,https://github.com/infinispan/infinispan/commit/37ddb6daa47e92047556e96339e16e154bf1d81e
CVE-2016-1182,Fixed CVE-2016-1181 and CVE-2016-1182,,contains links,https://github.com/kawasima/struts1-forever/commit/eda3a79907ed8fcb0387a0496d0cb14332f250e8
CVE-2012-4386,"WW-3858
Decouple token names from their respective session attribute names

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/trunk@1368827 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/trunk@1368827,contains links,https://github.com/apache/struts/commit/a1ca307981b0930d1687ed89f0b7305af79da0f3;https://github.com/apache/struts/commit/1081c52be93abfd2f33ba8453c676e3edcedec8b
CVE-2013-4322,"Add support for limiting the size of chunk extensions when using
chunked encoding
This is part of the fix for CVE-2013-4322.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1521834 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/trunk@1521834,contains links,https://github.com/apache/tomcat/commit/85db6e85d8365d312fcb51d8558f83ae91d47893;https://github.com/apache/tomcat/commit/d6a9898;https://github.com/apache/tomcat/commit/b8cb9f5;https://github.com/apache/tomcat80/commit/c806b2fc6b04ca4e928b3467d94f30f20c820d9d
CVE-2017-15713,"Fixing Job History Server Configuration parsing. (Jason Lowe via asuresh)

(cherry picked from commit b3df744fb651d480050cf355f7004e50e30f22ff)",,contains links,https://github.com/apache/hadoop/commit/feb886f2093ea5da0cd09c69bd1360a335335c86
CVE-2019-17572,"[ISSUE #1637]Fix 1637 (#1644)

* fix(broker): add the check logic of the server to the topic

* chore(test):add unit test

* chore(validator):polish the code

* chore(test):add ASF license header",https://github.com/apache/rocketmq/issues/1637; https://github.com/apache/rocketmq/pull/1644,contains links,https://github.com/apache/rocketmq/commit/f8f6fbe4aa7f5dee937e688322628c366b12a552
CVE-2016-2510,not found,,no links,https://github.com/beanshell/beanshell/commit/1ccc66bb693d4e46a34a904db8eeff07808d2ced
CVE-2016-4977,"Prevent recursive placeholders in whitelabel views

This change prevents placeholders in model values from being
recursively replaced (which is a feature of the placeholder
utilities in Spring Core), so that user-provided data
(e.g. an invalid response_type or a leaky exception message)
cannot be used to inject SpEL into the view.

N.B. this only affects apps that are using the whitelabel views
for approval and error pages (i.e. probably nothing in
production).",,no links,https://github.com/spring-projects/spring-security-oauth/commit/fff77d3fea477b566bcacfbfc95f85821a2bdc2d
CVE-2011-2481,"Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=51395
Better fix for memory leak that aligns ContextConfig with TldConfig
Fix part 3 of 3 for CVE-2011-2481

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1138788 13f79535-47bb-0310-9956-ffa450edef68",https://issues.apache.org/bugzilla/show_bug.cgi?id=51395; https://svn.apache.org/repos/asf/tomcat/trunk@1138788,contains links,https://github.com/apache/tomcat/commit/3ab7d6be13fd59b872bb5c3745ca06035e15ba3f;https://github.com/apache/tomcat/commit/3bbcc309a04bd2e2ef4730c86c501afd1947fbc1;https://github.com/apache/tomcat/commit/8fa210147ffd98e8971cba56395726cc4a893ad7
CVE-2021-20218,fix: CVE-2021-20218 vulnerable to a path traversal,,contains links,https://github.com/fabric8io/kubernetes-client/commit/857c8733a89d59ca34c268a00aa4708bb2566a35
CVE-2021-22569,"Improve performance of parsing unknown fields in Java (#9371)

Credit should go to @elharo for most of these Java changes--I am just
cherry-picking them from our internal codebase. The one thing I did
change was to give the UTF-8 validation tests their own Bazel test
target. This makes it possible to give the other tests a shorter
timeout, which is important for UnknownFieldSetPerformanceTest in
particular.",https://github.com/protocolbuffers/protobuf/pull/9371,contains links,https://github.com/protocolbuffers/protobuf/commit/9638a5e5315bf73f5e7148c16181676372321892
CVE-2017-3589,"Fix for Bug#66430 (16714868), setCatalog on connection leaves ServerPreparedStatement cache for old catalog.",,no links,https://github.com/mysql/mysql-connector-j/commit/44631dd316e3da818fb593f02dbbe30308a937e0
CVE-2011-5064,"Add additional configuration options to the DIGEST authenticator

git-svn-id: https://svn.apache.org/repos/asf/tomcat/tc5.5.x/trunk@1159309 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/tc5.5.x/trunk@1159309,contains links,https://github.com/apache/tomcat55/commit/644dfdf96cf82fcd2a2046d93f2b5495f7e94584
CVE-2020-7226,"Merge pull request #53 from serac/52-safe-header

Define new ciphertext header format.",https://github.com/vt-middleware/cryptacular/pull/53,contains links,https://github.com/vt-middleware/cryptacular/commit/311baf12252abf21947afd07bf0a0291ec3ec796
CVE-2016-5001,"HDFS-9574. Reduce client failures during datanode restart. Contributed by Kihwal Lee.
(cherry picked from commit b06e39de4fc4f9c35afb472eef0bba2adf91954f)

Conflicts:
	hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSConfigKeys.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSInputStream.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataNodeFaultInjector.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataXceiver.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/resources/hdfs-default.xml",,contains links,https://github.com/apache/hadoop/commit/04b8a19f81ee616c315eec639642439b3a18ad9c
CVE-2016-0793,WFLY-5918 Issues with servlet resource manager on Windows,,no links,https://github.com/wildfly/wildfly/commit/dcfaf3acd6bcdd1ec322bad971ddbcc94261c58b
CVE-2021-44878,reinforce security on OIDC,,no links,https://github.com/pac4j/pac4j/commit/22b82ffd702a132d9f09da60362fc6264fc281ae
CVE-2014-4172,not found,,no links,https://github.com/apereo/java-cas-client/commit/ae37092100c8eaec610dab6d83e5e05a8ee58814;https://github.com/apereo/java-cas-client/commit/9de2be91a2ed4f013900cb1facd4036c2f34d051
CVE-2019-12399,"KAFKA-8774: Regex can be found anywhere in config value (#7197)

Corrected the AbstractHerder to correctly identify task configs that contain variables for externalized secrets. The original method incorrectly used `matcher.matches()` instead of `matcher.find()`. The former method expects the entire string to match the regex, whereas the second one can find a pattern anywhere within the input string (which fits this use case more correctly).

Added unit tests to cover various cases of a config with externalized secrets, and updated system tests to cover case where config value contains additional characters besides secret that requires regex pattern to be found anywhere in the string (as opposed to complete match).

Author: Arjun Satish <arjun@confluent.io>
Reviewer: Randall Hauch <rhauch@gmail.com>",https://github.com/apache/kafka/pull/7197,contains links,https://github.com/apache/kafka/commit/b85707c0fdb4c11448cdb5a1938e0488ddc91102
CVE-2011-4461,367638: 361316: protected multipart filter from DoS,,no links,https://github.com/eclipse/jetty.project/commit/d0b81a185c260ffceecb9d7470b3ddfbfeda4c11
CVE-2018-1000822,fix #1851 add FEATURE_SECURE_PROCESSING,https://github.com/codelibs/fess/issues/1851,contains links,https://github.com/codelibs/fess/commit/4e0d9f5faaf4ec75dbe89f5ff97ece0f03b097a8;https://github.com/codelibs/fess/commit/faa265b
CVE-2021-29451,Fix security vulnerability,,no links,https://github.com/ManyDesigns/Portofino/commit/8c754a0ad234555e813dcbf9e57d637f9f23d8fb
CVE-2021-27906,"PDFBOX-4892: optimize loop, as suggested by valerybokov

git-svn-id: https://svn.apache.org/repos/asf/pdfbox/branches/2.0@1887586 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/pdfbox/branches/2.0@1887586,contains links,https://github.com/apache/pdfbox/commit/c978d742bd64137aacdba346f3afe7238a5ac9a7
CVE-2017-15695,"GEODE-3974: improve permission for Internal functions (#1395)

   New marker interface InternalFunction to define all
   internal functions. InternalFunctions need * permission.",https://github.com/apache/geode/pull/1395,contains links,https://github.com/apache/geode/commit/aa469239860778eb46e09dd7b390aee08f152480;https://github.com/apache/geode/commit/00be4f9774e1adf8e7ccc2664da8005fc30bb11d;https://github.com/apache/geode/commit/954ccb545d24a9c9a35cbd84023a4d7e07032de0;https://github.com/apache/geode/commit/6df14c8b1e3c644f9f810149e80bba0c2f073dab
CVE-2013-4316,"Disables DMI

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_1_X@1524296 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_1_X@1524296,contains links,https://github.com/apache/struts/commit/58947c3f85ae641c1a476316a2888e53605948d1
CVE-2021-43797,"Merge pull request from GHSA-wx5j-54mm-rqqq

Motivation:

We should validate that only OWS is allowed before / after a header name and otherwise throw. At the moment we just ""strip"" everything except OWS.

Modifications:

- Adjust code to correctly validate
- Add unit tests

Result:

More strict and correct behaviour",,contains links,https://github.com/netty/netty/commit/07aa6b5938a8b6ed7a6586e066400e2643897323
CVE-2020-17516,Fix inbound TLS enforcement,,no links,https://github.com/apache/cassandra/commit/c2f24d2c45aae6030310d881dcd96ba60d04a2ad
CVE-2019-0201,ZOOKEEPER-1392: Request READ or ADMIN permission for getAcl(),,no links,https://github.com/emperwang/zookeeper/commit/af741cb319d4760cfab1cd3b560635adacd8deca
CVE-2019-3802,"DATAJPA-1534 - Escape wildcards in QBE Like-queries.

The `StringMatcher` values `STARTING`, `ENDING`, and `CONTAINING` now escape wildcards in their parameters.

See also: DATAJPA-1519, DATAJPA-1522.",,contains links,https://github.com/spring-projects/spring-data-jpa/commit/33027dc370f418981f41f8fdfebc7173155960a1
CVE-2016-1000339,"added better support for DH domain parameters
added s box allocation to AESEngine
reduced use of AESFastEngine.",,no links,https://github.com/bcgit/bc-java/commit/413b42f4d770456508585c830cfcde95f9b0e93b;https://github.com/bcgit/bc-java/commit/8a73f08931450c17c749af067b6a8185abdfd2c0
CVE-2011-0013,"Prevent XSS in Manager application
This addresses CVE-2011-0013


git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1057279 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/trunk@1057279,contains links,https://github.com/apache/tomcat/commit/c8a9a43183e061f09eb5cf7cd5443cecd8699462;https://github.com/apache/tomcat/commit/1930114c4122f2b6f45d6b92e7790288b17e2ad2
CVE-2011-1498,"HTTPCLIENT-1061: Proxy-Authorization header gets sent to the target host when tunneling requests through a proxy that requires authentication

git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1074473 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1074473,contains links,https://github.com/apache/httpcomponents-client/commit/a572756592c969affd0ce87885724e74839176fb
CVE-2020-10686,KEYCLOAK-13259,,no links,https://github.com/keycloak/keycloak/commit/5ddd605ee96b8551c7eb00b609a0b97939925b77
CVE-2018-9116,Disabled downloading of externally referenced DTDs during XML parsing and XPath evaluation,,no links,https://github.com/tomakehurst/wiremock/commit/4c6dfde82a5ee91c5f47bf353f5099d11692db39
CVE-2013-4390,"SLING-3141 : AbstractAuthenticationFormServlet should make sure resource is a valid redirect

git-svn-id: https://svn.apache.org/repos/asf/sling/trunk@1528062 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/sling/trunk@1528062,contains links,https://github.com/apache/sling/commit/6256d8bcbe9e99855ae2c78b8c8d0e80fa9b10b8
CVE-2020-1951,TIKA-3050 -- add xmp extraction from PSD files,,no links,https://github.com/apache/tika/commit/750d7790c7d8ba766f2794fac79521d5870eadfb
CVE-2021-21343,"Add CVEs, fixes and documentation.",,no links,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
CVE-2013-5823,not found,,contains links,https://github.com/apache/santuario-java/commit/55a48497dfbf3fe63a81e67c13160b3f41ebb1f3;https://github.com/apache/santuario-java/commit/f9a61f2df9473237aa71308c28113540b4063d33
CVE-2018-1000854,"Merge pull request #199 from esigate/nricheton-patch-2

Cleanup XSLT tests and ensure secure rendering",https://github.com/esigate/esigate/pull/199,contains links,https://github.com/esigate/esigate/commit/30cad23a8f282600c9b045e1af09f6f8a65357b1;https://github.com/esigate/esigate/commit/8461193d2f358bcf1c3fabf82891a66786bfb540;https://github.com/esigate/esigate/commit/b866acb1ebc661dbe475330e27e0d69693de1971
CVE-2016-8749,CAMEL-10567: Camel-Jackson: Add an option to allow the UnmarshallType header use,,contains links,https://github.com/apache/camel/commit/d4102512147eca2af21c3b6ed63a67d852f4e66;https://github.com/apache/camel/commit/7567488f844f01d72840f7ab6ca18114a11f20d;https://github.com/apache/camel/commit/57d01e2fc8923263df896e9810329ee5b7f9b69
CVE-2014-3490,"Merge pull request #521 from ronsigal/master

master branch",https://github.com/resteasy/resteasy/pull/521,contains links,https://github.com/resteasy/Resteasy/commit/240da98bc6437a44b3b267cb6d0d8bac3691b2f7;https://github.com/ronsigal/Resteasy/commit/9b7d0f574cafdcf3bea5428f3145ab4908fc6d83
CVE-2022-26336,"[bug-65899] fix issue where malformed tnef file can cause memory problems

git-svn-id: https://svn.apache.org/repos/asf/poi/trunk@1898208 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/poi/trunk@1898208,contains links,https://github.com/apache/poi/commit/6622d9badb3590cb6190d912730548635a359dc0
CVE-2012-6612,"Merged revision(s) 1390921 from lucene/dev/trunk:
SOLR-3895, SOLR-3614: XML and XSLT UpdateRequestHandler should not try to resolve external entities; fix XML parsing in XPathEntityProcessor to correctly expand named entities, but ignore external entities

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/branches/branch_4x@1390924 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/lucene/dev/branches/branch_4x@1390924,contains links,https://github.com/apache/lucene-solr/commit/bffc5624eff8e2790fb8d29b48385efd063c79d9
CVE-2017-12629,"SOLR-11477: Disallow resolving of external entities in Lucene queryparser/xml/CoreParser and SolrCoreParser (defType=xmlparser or {!xmlparser ...}) by default.

(Michael Stepankin, Olga Barinova, Uwe Schindler, Christine Poerschke)

This closes #263.",https://github.com/apache/lucene-solr/pull/263,contains links,https://github.com/apache/lucene-solr/commit/d8000beebfb13ba0b6e754f84c760e11592d8d1
CVE-2020-5230,"Limit Characters Allowed In Ids

Opencast allows almost arbitrary identifiers for media packages and
elements to be used. This can be problematic for operation and security
since such identifiers are sometimes used for file system operations
which may lead to attacker being able to escape working directories and
write files to other locations.

In addition, Opencast's `Id.toString(…)` vs `Id.compact(…)` behavior,
the latter trying to mitigate some of the file system problems, can
cause errors due to identifier mismatch since an identifier may
unintentionally change.

This patch limits the characters allowed to be used in identifiers to
ensure no unsafe operations are possible and no mismatch may happen.",,no links,https://github.com/opencast/opencast/commit/bbb473f34ab95497d6c432c81285efb0c739f317
CVE-2014-3709,KEYCLOAK-765 Check signature on state in social callback,,no links,https://github.com/keycloak/keycloak/commit/bb132e1aa0b3b3a123883d0b8d0b788337df956d
CVE-2020-9486,"NIFI-7377 Cleaned up nifi-stateless logs.
Refactored masking logic to CipherUtility and indicated masking with label and Base64 output.
Added JSON masking logic to nifi-stateless module.
Added argument masking functionality to Program.
Moved groovy unit tests to proper Maven directory structure.
Modified plain argument output to use filtering/masking methods in provided utility.
Refactored utility methods.
Updated unit tests.

This closes #4222.

Co-authored-by: Pierre Villard <pierre.villard.fr@gmail.com>

Signed-off-by: Andy LoPresto <alopresto@apache.org>",https://github.com/apache/nifi/pull/4222,contains links,https://github.com/apache/nifi/commit/148537d64a017b73160b0d49943183c18f883ab0
CVE-2017-5651,"Fix https://bz.apache.org/bugzilla/show_bug.cgi?id=60918
When sendfile processing passes to the Poller for completion and then completes before Http11Processor.service() exists, the Processor is recycled which clears sendfileData causing the Processor to return CLOSED or OPEN rather than SENDFILE.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1788544 13f79535-47bb-0310-9956-ffa450edef68",https://bz.apache.org/bugzilla/show_bug.cgi?id=60918; https://svn.apache.org/repos/asf/tomcat/trunk@1788544,contains links,https://github.com/apache/tomcat/commit/9233d9d6a018be4415d4d7d6cb4fe01176adf1a8
CVE-2016-2141,not found,,no links,https://github.com/belaban/JGroups/commit/c3ad22234ef84d06d04d908b3c94c0d11df8afd;https://github.com/belaban/JGroups/commit/eeaf5241cce464ef21a2dfc4938729ade9ebef36;https://github.com/belaban/JGroups/commit/38a882331035ffed205d15a5c92b471fd09659c;https://github.com/belaban/JGroups/commit/fba182c14075789e1d2c976d50d9018c671ad0b
CVE-2017-9735,Fixes #1556 - A timing channel in Password.java.,https://github.com/jetty/jetty.project/issues/1556,contains links,https://github.com/eclipse/jetty.project/commit/042f325f1cd6e7891d72c7e668f5947b5457dc02;https://github.com/eclipse/jetty.project/commit/f3751d70787fd8ab93932a51c60514c2eb37cb58;https://github.com/eclipse/jetty.project/commit/2baa1abe4b1c380a30deacca1ed367466a1a62ea
CVE-2018-1999020,"Fix for OS-13 - don't allow app pathnames to leave the app root

Change-Id: I6bb7be6df8be3dced903f72cef4600532cb118a3
(cherry picked from commit 10e606aab45365b15f2533e0e92d5047ac6a84fe)",,contains links,https://github.com/opennetworkinglab/onos/commit/4b19da6ce94de4865a365c200d6e8169ffb2184f
CVE-2018-1000008,[SECURITY-655] Do not resolve external entities.,,no links,https://github.com/jenkinsci/pmd-plugin/commit/f88399a021c22e30cb8fbac5200471d69f1b6224
CVE-2020-27178,Backport MFA Gauth improvement,,no links,https://github.com/apereo/cas/commit/1808d979b784500d4b4dd846003a0230f326b57d
CVE-2014-0096,"Redefine globalXsltFile as relative to CATALINA_BASE/conf or CATALINA_HOME/conf
This is part 1 of 2 of the fix for CVE-2014-0096


git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1578610 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/trunk@1578610,contains links,https://github.com/apache/tomcat/commit/f4863f73da45dab42595ea4f0f1c065ccb380239;https://github.com/apache/tomcat/commit/8d67386595064cf4f0563951dba313ec1bd7e4ea
CVE-2020-13941,"SOLR-14561 Followup - validate params for more core operations  (#1629)

Add template to solr.in scripts
Also testes Windows paths
Added RefGuide documentation to some params",https://github.com/apache/lucene-solr/pull/1629,contains links,https://github.com/apache/lucene-solr/commit/49a3f0a11d41f7124b893a08dc9e67594c32e2ee
CVE-2021-25122,"Simplify the code and fix an edge case for BZ 64830

https://bz.apache.org/bugzilla/show_bug.cgi?id=64830",https://bz.apache.org/bugzilla/show_bug.cgi?id=64830,contains links,https://github.com/apache/tomcat/commit/dd757c0a893e2e35f8bc1385d6967221ae8b9b9b
