source_row_index,CVE_ID,Commit Message,Links in Message,Link Presence,PATCH,repository,first_patch_url,page_status,page_error,clickable_links,recovered_first_link,recovered_first_link_type,recovery_status,failure_reason,recovered_link_clean,recovered_link_type_for_created_date,recovered_link,mined_recovered_link_type,recovered_link_created_at,recovered_link_created_date_source,recovered_link_created_date_status,recovered_link_created_date_reason,created_date_kind
10,CVE-2013-5823,not found,,contains links,https://github.com/apache/santuario-java/commit/55a48497dfbf3fe63a81e67c13160b3f41ebb1f3;https://github.com/apache/santuario-java/commit/f9a61f2df9473237aa71308c28113540b4063d33,apache/santuario-java,https://github.com/apache/santuario-java/commit/55a48497dfbf3fe63a81e67c13160b3f41ebb1f3,200,,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.4.x-fixes@1367505; https://github.com/apache/santuario-java/commit/d89309d303d5fb1e91bb988e0c3552a6da477411,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.4.x-fixes@1367505,source/tracker link,successful,,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.4.x-fixes@1367505,svn/source link,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.4.x-fixes@1367505,svn/source link,,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.4.x-fixes@1367505,not_available,"SVN revision date not found for r1367505; last error: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>401 Unauthorized</title>
</head><body>
<h1>Unauthorized</h1>
<p>This server could not verify that you
are authorized to access the document
requested.  Either you supplied the wrong
credentials (e.g., bad password), or your
browser doesn't understand how to supply
the credentials required.</p>
</body></html>
 (401) for https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.4.x-fixes@1367505",
11,CVE-2016-8749,CAMEL-10567: Camel-Jackson: Add an option to allow the UnmarshallType header use,,contains links,https://github.com/apache/camel/commit/d4102512147eca2af21c3b6ed63a67d852f4e66;https://github.com/apache/camel/commit/7567488f844f01d72840f7ab6ca18114a11f20d;https://github.com/apache/camel/commit/57d01e2fc8923263df896e9810329ee5b7f9b69,apache/camel,https://github.com/apache/camel/commit/d4102512147eca2af21c3b6ed63a67d852f4e66,200,,https://issues.apache.org/jira/browse/CAMEL-10567; https://github.com/apache/camel/commit/10f552643d7e4565104d142bbc160db5a30f9f7e,https://issues.apache.org/jira/browse/CAMEL-10567,apache issue tracker,successful,,https://issues.apache.org/jira/browse/CAMEL-10567,jira issue tracker,https://issues.apache.org/jira/browse/CAMEL-10567,jira issue tracker,2016-12-07T16:54:00Z,https://issues.apache.org/jira/browse/CAMEL-10567,ok,parsed from Jira HTML fallback,created_at
12,CVE-2018-1999020,"Fix for OS-13 - don't allow app pathnames to leave the app root

Change-Id: I6bb7be6df8be3dced903f72cef4600532cb118a3
(cherry picked from commit 10e606aab45365b15f2533e0e92d5047ac6a84fe)",,contains links,https://github.com/opennetworkinglab/onos/commit/4b19da6ce94de4865a365c200d6e8169ffb2184f,opennetworkinglab/onos,https://github.com/opennetworkinglab/onos/commit/4b19da6ce94de4865a365c200d6e8169ffb2184f,200,,https://github.com/opennetworkinglab/onos/commit/10e606aab45365b15f2533e0e92d5047ac6a84fe; https://github.com/opennetworkinglab/onos/commit/5b66ce0da32ce62d71868558b6229da190343676,https://github.com/opennetworkinglab/onos/commit/10e606aab45365b15f2533e0e92d5047ac6a84fe,github commit,successful,,https://github.com/opennetworkinglab/onos/commit/10e606aab45365b15f2533e0e92d5047ac6a84fe,github commit,https://github.com/opennetworkinglab/onos/commit/10e606aab45365b15f2533e0e92d5047ac6a84fe,github commit,2018-07-09T16:05:42Z,https://api.github.com/repos/opennetworkinglab/onos/commits/10e606aab45365b15f2533e0e92d5047ac6a84fe,ok,GitHub commit URL has no created_at; used commit committer date,commit_committer_date
13,CVE-2018-11765,"Revert ""HADOOP-13707. If kerberos is enabled while HTTP SPNEGO is not configured, some links cannot be accessed. Contributed by Yuanbo Liu""

Change-Id: I946a466a43d56c73bb0135384e73cb8513595461
(cherry picked from commit 80ee5248b2dda1cb8d122d4f362f2f8cf02b9467)
(cherry picked from commit 252c2b4d52e0dd8984d6f2a8f292f40e1c347fab)
(cherry picked from commit 78f103d6e623692d00060e554dead5473b18d4ca)",,contains links,https://github.com/apache/hadoop/commit/94b0df839d36cf5d5e927b3642566c67d0689474,apache/hadoop,https://github.com/apache/hadoop/commit/94b0df839d36cf5d5e927b3642566c67d0689474,200,,https://issues.apache.org/jira/browse/HADOOP-13707; https://github.com/apache/hadoop/commit/80ee5248b2dda1cb8d122d4f362f2f8cf02b9467; https://github.com/apache/hadoop/commit/252c2b4d52e0dd8984d6f2a8f292f40e1c347fab; https://github.com/apache/hadoop/commit/78f103d6e623692d00060e554dead5473b18d4ca; https://github.com/apache/hadoop/commit/3b922cdb04e27e09c1b4843edafc896ee916d5e6,https://issues.apache.org/jira/browse/HADOOP-13707,apache issue tracker,successful,,https://issues.apache.org/jira/browse/HADOOP-13707,jira issue tracker,https://issues.apache.org/jira/browse/HADOOP-13707,jira issue tracker,2016-10-11T10:05:00Z,https://issues.apache.org/jira/browse/HADOOP-13707,ok,parsed from Jira HTML fallback,created_at
14,CVE-2018-11039,"Restrict HTTP methods on Servlet HiddenHttpMethodFilter

This commit restricts the allowed HTTP methods on HiddenHttpMethodFilter
(Servlet variant) to the following: PUT, DELETE, PATCH.

This filter is meant to be used to simulate those methods from HTML
forms sent by browsers, so no other methods are allowed.

Issue: SPR-16836
(Cherry-picked from f64fa3dea1)",,contains links,https://github.com/spring-projects/spring-framework/commit/323ccf99e575343f63d56e229c25c35c170b7ec1,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework/commit/323ccf99e575343f63d56e229c25c35c170b7ec1,200,,https://github.com/spring-projects/spring-framework/commit/f64fa3dea10af125d612d3a997aece93d21bc875; https://github.com/spring-projects/spring-framework/commit/437eca0b253bc06d1596e4d5385845d3b72e9fda,https://github.com/spring-projects/spring-framework/commit/f64fa3dea10af125d612d3a997aece93d21bc875,github commit,successful,,https://github.com/spring-projects/spring-framework/commit/f64fa3dea10af125d612d3a997aece93d21bc875,github commit,https://github.com/spring-projects/spring-framework/commit/f64fa3dea10af125d612d3a997aece93d21bc875,github commit,2018-06-11T16:53:23Z,https://api.github.com/repos/spring-projects/spring-framework/commits/f64fa3dea10af125d612d3a997aece93d21bc875,ok,GitHub commit URL has no created_at; used commit committer date,commit_committer_date
15,CVE-2017-4995,"Update SecurityJackson2Modules

Fixes gh-4370",,contains links,https://github.com/spring-projects/spring-security/commit/947d11f433b78294942cb5ea56e8aa5c3a0ca43;https://github.com/spring-projects/spring-security/commit/5dee8534cd1b92952d10cc56335b5d5856f48f3b,spring-projects/spring-security,https://github.com/spring-projects/spring-security/commit/947d11f433b78294942cb5ea56e8aa5c3a0ca43,200,,https://github.com/spring-projects/spring-security/issues/4370; https://github.com/spring-projects/spring-security/commit/b3a60a83f60aa1230fda9d25bc8ecc555f636bd6,https://github.com/spring-projects/spring-security/issues/4370,github issue,successful,,https://github.com/spring-projects/spring-security/issues/4370,github issue,https://github.com/spring-projects/spring-security/issues/4370,github issue,2017-06-06T15:18:33Z,https://api.github.com/repos/spring-projects/spring-security/issues/4370,ok,,created_at
16,CVE-2016-5007,"Add MvcRequestMatcher

Fixes gh-3964",,contains links,https://github.com/spring-projects/spring-security/commit/e4c13e,spring-projects/spring-security,https://github.com/spring-projects/spring-security/commit/e4c13e,200,,https://github.com/spring-projects/spring-security/issues/3964; https://github.com/spring-projects/spring-security/commit/13bc70f693e1b5c6c44d0da5ee46b9e5634ed293,https://github.com/spring-projects/spring-security/issues/3964,github issue,successful,,https://github.com/spring-projects/spring-security/issues/3964,github issue,https://github.com/spring-projects/spring-security/issues/3964,github issue,2016-07-06T20:46:57Z,https://api.github.com/repos/spring-projects/spring-security/issues/3964,ok,,created_at
17,CVE-2016-6805,IGNITE-4537 - Filter possible sensitive user data that might be set in system properties to send in update notifier.,,contains links,https://github.com/apache/ignite/commit/9c401b0dcfc6edb5cc83f6b35bc0d24db6f10347,apache/ignite,https://github.com/apache/ignite/commit/9c401b0dcfc6edb5cc83f6b35bc0d24db6f10347,200,,https://issues.apache.org/jira/browse/IGNITE-4537; https://github.com/apache/ignite/commit/607f4eb7cea1e7392fac584772b3b86851eaf57c,https://issues.apache.org/jira/browse/IGNITE-4537,apache issue tracker,successful,,https://issues.apache.org/jira/browse/IGNITE-4537,jira issue tracker,https://issues.apache.org/jira/browse/IGNITE-4537,jira issue tracker,2017-01-11T02:16:00Z,https://issues.apache.org/jira/browse/IGNITE-4537,ok,parsed from Jira HTML fallback,created_at
18,CVE-2018-1259,"DATACMNS-1292 - Improved default setup of XMLBeam.

We now explicitly disable entity expansion in the DocumentBuilderFactory used by XMLBeam.

Introduced constructor in XmlBeamHttpMessageConverter to allow dedicated configuration of an XBProjector instance in case the defaults need tweaking and augmented the web configuration setup to automatically pick up a custom XmlBeamHttpMessageConverter bean instead of our own default if present.",,contains links,https://github.com/spring-projects/spring-data-commons/commit/11d0aa1b396d8819a5a0d4933c5cfc72fe9ad102,spring-projects/spring-data-commons,https://github.com/spring-projects/spring-data-commons/commit/11d0aa1b396d8819a5a0d4933c5cfc72fe9ad102,200,,https://jira.spring.io/browse/DATACMNS-1292; https://github.com/spring-projects/spring-data-commons/commit/73415d059399198124dc3f614903c9cf38c90142,https://jira.spring.io/browse/DATACMNS-1292,jira issue tracker,successful,,https://jira.spring.io/browse/DATACMNS-1292,jira issue tracker,https://jira.spring.io/browse/DATACMNS-1292,jira issue tracker,,https://jira.spring.io/browse/DATACMNS-1292,not_available,,
19,CVE-2017-7561,[RESTEASY-1704] CVE-2017-7561 resteasy: Vary header not added by CORS filter leading to cache poisoning,,contains links,https://github.com/resteasy/Resteasy/commit/fd66aad3cb1e8553323a9af5b58f1ad5150dc5b9,resteasy/Resteasy,https://github.com/resteasy/Resteasy/commit/fd66aad3cb1e8553323a9af5b58f1ad5150dc5b9,200,,https://github.com/advisories/GHSA-57q5-x8jf-g7h8; https://github.com/resteasy/resteasy/commit/38dcb6a98fae241e0ec7ee4ad1392743e009926d,https://github.com/advisories/GHSA-57q5-x8jf-g7h8,github advisory,successful,,https://github.com/advisories/GHSA-57q5-x8jf-g7h8,github advisory,https://github.com/advisories/GHSA-57q5-x8jf-g7h8,github advisory,2022-05-13T01:47:01Z,https://api.github.com/advisories/GHSA-57q5-x8jf-g7h8,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
20,CVE-2017-5656,Backporting fix for CVE-2017-5656,,contains links,https://github.com/apache/cxf/commit/f25f4a51bf0de5255414c233f41ccc35cf00a073;https://github.com/apache/cxf/commit/66c2c5b9,apache/cxf,https://github.com/apache/cxf/commit/f25f4a51bf0de5255414c233f41ccc35cf00a073,200,,https://github.com/advisories/GHSA-v936-x3j5-c76j; https://github.com/apache/cxf/commit/72c4194a634a40265171b4288927f35dc329c552,https://github.com/advisories/GHSA-v936-x3j5-c76j,github advisory,successful,,https://github.com/advisories/GHSA-v936-x3j5-c76j,github advisory,https://github.com/advisories/GHSA-v936-x3j5-c76j,github advisory,2022-05-13T01:09:19Z,https://api.github.com/advisories/GHSA-v936-x3j5-c76j,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
21,CVE-2022-23913,"ARTEMIS-3593 Defense against OME on parsing XID

Co-authored-by: Viktor Kolomeyko <Viktor.Kolomeyko@r3.com>",,contains links,https://github.com/apache/activemq-artemis/commit/72a4fff1673477d78a85c415d48a2c74afda81fa,apache/activemq-artemis,https://github.com/apache/activemq-artemis/commit/72a4fff1673477d78a85c415d48a2c74afda81fa,200,,https://issues.apache.org/jira/browse/ARTEMIS-3593; https://github.com/apache/artemis/commit/4196faf7ce56cb3676d46acb3b0684b5cdf804d7,https://issues.apache.org/jira/browse/ARTEMIS-3593,apache issue tracker,successful,,https://issues.apache.org/jira/browse/ARTEMIS-3593,jira issue tracker,https://issues.apache.org/jira/browse/ARTEMIS-3593,jira issue tracker,2021-11-30T10:05:00Z,https://issues.apache.org/jira/browse/ARTEMIS-3593,ok,parsed from Jira HTML fallback,created_at
22,CVE-2019-12400,not found,,contains links,https://github.com/apache/santuario-java/commit/c5210f77a77105fba81311d16c07ceacc21f39d5,apache/santuario-java,https://github.com/apache/santuario-java/commit/c5210f77a77105fba81311d16c07ceacc21f39d5,200,,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/2.1.x-fixes@1862081; https://github.com/apache/santuario-java/commit/1a0f8cbf449b73e1549149b8b173aa5c1c315eed,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/2.1.x-fixes@1862081,source/tracker link,successful,,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/2.1.x-fixes@1862081,svn/source link,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/2.1.x-fixes@1862081,svn/source link,,https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/2.1.x-fixes@1862081,not_available,"SVN revision date not found for r1862081; last error: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>401 Unauthorized</title>
</head><body>
<h1>Unauthorized</h1>
<p>This server could not verify that you
are authorized to access the document
requested.  Either you supplied the wrong
credentials (e.g., bad password), or your
browser doesn't understand how to supply
the credentials required.</p>
</body></html>
 (401) for https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/2.1.x-fixes@1862081",
23,CVE-2011-4343,MYFACES-3405 includeViewParameters re-evaluates param/model values as EL expressions [CVE-2011-4343],,contains links,https://github.com/apache/myfaces/commit/a74b551b2ce6e88101ff453389a761f230e428a1,apache/myfaces,https://github.com/apache/myfaces/commit/a74b551b2ce6e88101ff453389a761f230e428a1,200,,https://github.com/advisories/GHSA-jq6g-p65r-44xr; https://issues.apache.org/jira/browse/MYFACES-3405; https://github.com/apache/myfaces/commit/f2ca6e3d9d368aa262dedd9ff91501f8429b5f8a,https://github.com/advisories/GHSA-jq6g-p65r-44xr,github advisory,successful,,https://github.com/advisories/GHSA-jq6g-p65r-44xr,github advisory,https://github.com/advisories/GHSA-jq6g-p65r-44xr,github advisory,2022-05-17T00:29:01Z,https://api.github.com/advisories/GHSA-jq6g-p65r-44xr,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
24,CVE-2018-18928,"ICU-20246 Fixing another integer overflow in number parsing.

(cherry picked from commit 53d8c8f3d181d87a6aa925b449b51c4a2c922a51)",,contains links,https://github.com/unicode-org/icu/commit/6cbd62e59e30f73b444be89ea71fd74275ac53a4,unicode-org/icu,https://github.com/unicode-org/icu/commit/6cbd62e59e30f73b444be89ea71fd74275ac53a4,200,,https://github.com/unicode-org/icu/commit/53d8c8f3d181d87a6aa925b449b51c4a2c922a51; https://github.com/unicode-org/icu/commit/2094a48c20193d8ecee70dc39a18f61bfda41f25,https://github.com/unicode-org/icu/commit/53d8c8f3d181d87a6aa925b449b51c4a2c922a51,github commit,successful,,https://github.com/unicode-org/icu/commit/53d8c8f3d181d87a6aa925b449b51c4a2c922a51,github commit,https://github.com/unicode-org/icu/commit/53d8c8f3d181d87a6aa925b449b51c4a2c922a51,github commit,2018-10-31T20:37:09Z,https://api.github.com/repos/unicode-org/icu/commits/53d8c8f3d181d87a6aa925b449b51c4a2c922a51,ok,GitHub commit URL has no created_at; used commit committer date,commit_committer_date
25,CVE-2018-1260,"DefaultOAuth2RequestAuthenticator resolves Bearer syntax

Fixes gh-1346",,contains links,https://github.com/spring-projects/spring-security-oauth/commit/70e5ba84ca98b7ab42c1900bdd9fa51b393d611f,spring-projects/spring-security-oauth,https://github.com/spring-projects/spring-security-oauth/commit/70e5ba84ca98b7ab42c1900bdd9fa51b393d611f,200,,https://github.com/spring-attic/spring-security-oauth/issues/1346; https://github.com/spring-attic/spring-security-oauth/commit/f9414d549b5341bcac1475e0b5527511444640dc,https://github.com/spring-attic/spring-security-oauth/issues/1346,github issue,successful,,https://github.com/spring-attic/spring-security-oauth/issues/1346,github issue,https://github.com/spring-attic/spring-security-oauth/issues/1346,github issue,2018-04-26T13:38:19Z,https://api.github.com/repos/spring-attic/spring-security-oauth/issues/1346,ok,,created_at
